query_time,user_id,query,token,matched_seed
00:01:41,7976658329072028,神舟笔记本电脑如何,神舟笔记本电脑如何,笔记本电脑
00:02:28,7976658329072028,神舟笔记本电脑如何,神舟笔记本电脑如何,笔记本电脑
00:03:19,9705131250328223,敷完面膜后怎样护肤,敷完面膜后怎样护肤,面膜
00:05:40,1878542021941006,笔记本电脑销售排名,笔记本电脑销售排名,笔记本电脑
00:10:46,9028561568108053,笔记本电脑,笔记本电脑,笔记本电脑
00:12:49,9028561568108053,笔记本电脑,笔记本电脑,笔记本电脑
00:16:28,8171796278394714,敷完面膜后怎样护肤,敷完面膜后怎样护肤,面膜
00:19:01,1878542021941006,笔记本电脑销售排名,笔记本电脑销售排名,笔记本电脑
00:28:03,6406363071518314,洗发水配方,洗发水配方,洗发水
00:28:29,6406363071518314,洗发水配方,洗发水配方,洗发水
00:31:11,6406363071518314,洗发水利润,洗发水利润,洗发水
00:31:30,6406363071518314,洗发水利润,洗发水利润,洗发水
00:31:51,6406363071518314,洗发水利润,洗发水利润,洗发水
00:32:09,15769288934892267,装净水器好不好,装净水器好不好,净水器
00:33:45,6406363071518314,洗发水利润,洗发水利润,洗发水
00:34:03,6406363071518314,洗发水利润,洗发水利润,洗发水
00:34:09,15769288934892267,装净水器好不好,装净水器好不好,净水器
00:34:14,6406363071518314,洗发水利润,洗发水利润,洗发水
00:35:00,6406363071518314,洗发水利润,洗发水利润,洗发水
00:48:54,12690498310274972,笔记本电脑,笔记本电脑,笔记本电脑
00:51:13,9039184950797928,敷完面膜后怎样护肤,敷完面膜后怎样护肤,面膜
00:53:56,2820221118226783,索尼笔记本电脑,索尼笔记本电脑,笔记本电脑
01:07:19,6113327817208404,请问屈臣氏的面膜,请问屈臣氏的面膜,面膜
01:18:03,20460360555932738,自制瘦脸面膜,自制瘦脸面膜,面膜
01:19:02,12820347188970743,神舟笔记本电脑如何,神舟笔记本电脑如何,笔记本电脑
01:19:35,20460360555932738,自制瘦脸面膜,自制瘦脸面膜,面膜
01:29:10,7757137928987272,全智贤洗发水,全智贤洗发水,洗发水
01:30:33,7757137928987272,全智贤洗发水,全智贤洗发水,洗发水
01:53:56,4573241718173194,蓝牙耳机有什么用,蓝牙耳机有什么用,蓝牙耳机
